seq,display_num,title,date,kaptCode,apt_name,file_count,file_names,download_status
39204,1,옥련서해아파트 장기수선계획서,2023-02-01,A40671510,옥련서해,1,옥련서해아파트 장기수선계획 (2022)_요약용.pdf,OK
27740,1,장기수선계획서,2023-01-10,A40084102,영종한라비발디,3,장기수선계획서(21년 02월 수시조정).pdf | 장기수선계획서(2021년 9월 정기조정서).pdf | 장기수선계획서(22년 09월 수시조정).pdf,OK
128030,2,2023년 장기수선계획(정기조정),2026-01-09,A40072514,영종 풍림1차2-1단지아파트,1,2023년 3월 장기수선계획.xlsx,OK
49900,1,장기수선 계획,2023-02-15,A40072514,영종 풍림1차2-1단지아파트,1,장기수선계획서_정기조정_검토(2020.03).xlsx,OK
121559,5,2024년 장기수선계획 검토보고서,2024-12-13,A40084105,영종한양수자인아파트,1,장기수선계획 검토보고서(2024).pdf,OK
121558,4,2024년 장기수선계획서,2024-12-13,A40084105,영종한양수자인아파트,1,영종한양수자인+장기수선계획서(2024)상세.xls,OK
29340,3,2021년 장기수선계획서,2023-01-12,A40084105,영종한양수자인아파트,1,영종한양수자인아파트 장기수선계획서(2021)_요약(결재란.직책만).pdf,OK
29176,2,2021년 장기수선계획검토보고서,2023-01-12,A40084105,영종한양수자인아파트,1,[별첨] 검토보고서(한양수자인202105).hwp,OK
29320,1,2018년 장기슈선계획서,2023-01-12,A40084105,영종한양수자인아파트,1,영종한양수자인장기수선계획서(2018).xls,OK
46333,1,장기수선계획서(2020.8 정기검토) 및 조정,2023-02-09,A40072001,영종금호어울림2차,1,장기수선계획서(2020.8 정기검토 및 조정-최종).xlsx,OK
